Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Description,Intended audience,Slideshare Key,Link to slidedeck,Image,Video,Duration,Featured
Improve CRO processes with evolutionary AI,improve-cro-processes-with-evolutionary-ai,648394fc2bc06d23090d807c,648394fc2bc06d23090d85a7,Sat Dec 09 2017 12:04:50 GMT+0000 (Coordinated Universal Time),Tue Aug 09 2022 20:45:41 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),"<p>How do you get to the best converting layout of your website? In this case study, Guido talks about how his team is preparing for the next steps in optimizing B2B and B2C e-commerce platforms through Artificial Intelligence systems. Will AI be more efficient and can it replace the regular A/B testing process? This new AI approach is a revolution in the conversion world, with a ground breaking promise all experts are looking out for. Let’s see how it’s being used in practice!</p>",CRO/Growth Specialists.,YSDW1wXlcZkZB,https://www.slideshare.net/gxjansen/preparing-for-ai-measurefest,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/604e4df6033eb0d4715226e9_normal_photo_1504185187.jpeg,https://www.youtube.com/watch?v=fyrix-EARyE,30 minutes,false
Innovate or get Kodak'ed: 5 Guiding Principles to NOT F#%K up Modern Commerce,innovate-or-get-kodaked-5-guiding-principles-to-not-f-k-up-modern-commerce,648394fc2bc06d23090d807c,648394fc2bc06d23090d86f9,Thu Aug 11 2022 20:40:33 GMT+0000 (Coordinated Universal Time),Thu Aug 11 2022 21:06:18 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),"<p id="""">Build for the customer journeys of tomorrow and prepare your commerce platform for fast changes in customer and supplier demands. I offer you 5 guiding principles to get ready for the near future and discuss Composable Commerce and (B2B and B2C) marketplaces.<br></p>","Marketeers, Product owners",453DeYG2yJBwcT,https://www.slideshare.net/gxjansen/emerce-live-keynote-june-1st-2022pdf,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/62f56d5385742f56f6a86eef_guido-3.jpg,,30 min,true
Introduction to A/B testing,introduction-to-a-b-testing,648394fc2bc06d23090d807c,648394fc2bc06d23090d8447,Sat Dec 09 2017 13:08:48 GMT+0000 (Coordinated Universal Time),Sun Dec 10 2017 15:57:21 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),,,,,,,,
Introduction to Magento,introduction-to-magento,648394fc2bc06d23090d807c,648394fc2bc06d23090d8364,Sat Dec 09 2017 13:07:18 GMT+0000 (Coordinated Universal Time),Sun Mar 14 2021 17:54:53 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),<p>An introduction to Magento's features and it's ecosystem.</p>,,Al3V0DAhP5537D,https://prezi.com/w6uruf4vasuc/what-is-magento-and-why-is-it-so-cool/,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/604e4ded09f6bb444f51e279_6825672821_a81a134b01_b.jpeg,,30 minutes,
Learnings van 9 maanden conversie optimalisatie,learnings-van-9-maanden-conversie-optimalisatie,648394fc2bc06d23090d807c,648394fc2bc06d23090d836a,Sat Dec 16 2017 09:00:18 GMT+0000 (Coordinated Universal Time),Sun Mar 14 2021 17:53:58 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),<p>Sanoma Breeze sessie over de learnings van 9 maanden conversie optimalisatie bij Kieskeurig.nl</p>,,eOafCM6AK3CdY1,https://www.slideshare.net/gxjansen/kk-breeze-27-november-2014,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/604e4db6dfcca5805f0d4085_maxresdefault-(9).jpeg,https://www.youtube.com/watch?v=2pDkYU98fZY,,
Magento Association,magento-association,648394fc2bc06d23090d807c,648394fc2bc06d23090d8625,Sun Jun 23 2019 10:05:04 GMT+0000 (Coordinated Universal Time),Mon Aug 22 2022 21:01:35 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),,,,,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/604e4da733bbb6695269ff3f_square_color_w_mark_round_social.jpeg,https://www.youtube.com/watch?v=_B624ySafDc,10 min,
Magento Community versus Enterprise,magento-community-versus-enterprise,648394fc2bc06d23090d807c,648394fc2bc06d23090d858e,Sat Dec 09 2017 16:21:29 GMT+0000 (Coordinated Universal Time),Sun Mar 14 2021 17:54:04 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),"<p>I created a presentation to explain some similarities and differences between the Magento community and enterprise editions. If you're looking into using Magento but having doubt about the version, I hope this can help to make than decision.</p>",,sHJHNPbcXE5Fzr,https://www.slideshare.net/gxjansen/magento-community-versus-enterprise,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/604e4dbc2dd1421d63c3f762_download.png,,20-30 minutes,
Main event organizer,main-event-organizer,648394fc2bc06d23090d807c,648394fc2bc06d23090d8349,Sat Dec 09 2017 13:14:53 GMT+0000 (Coordinated Universal Time),Sat Dec 09 2017 13:14:53 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),,,,,,,,
Management buy-in for CRO,management-buy-in-for-cro,648394fc2bc06d23090d807c,648394fc2bc06d23090d8466,Sat Dec 09 2017 15:22:13 GMT+0000 (Coordinated Universal Time),Sat Dec 09 2017 15:23:14 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),,,,,,,,
Marketing with Magento,marketing-with-magento,648394fc2bc06d23090d807c,648394fc2bc06d23090d808f,Sat Dec 09 2017 16:38:20 GMT+0000 (Coordinated Universal Time),Sat Dec 09 2017 16:38:20 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),,,,,,,,
Meet Magento Association,meet-magento-association,648394fc2bc06d23090d807c,648394fc2bc06d23090d8551,Sat Dec 09 2017 15:21:27 GMT+0000 (Coordinated Universal Time),Sun Mar 14 2021 17:54:31 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),"<p>Introduction to the Meet Magento Association, of which I am Vice President for Western Europe.</p>",,qGNe1qukFpt5e9,https://www.slideshare.net/gxjansen/meet-magento-opening-session-romania-2017,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/604e4dd72c8e12796600e152_22713202_1482878368414021_3313586431392520781_o(1).jpeg,,10-15 minutes,
Panellist,panellist,648394fc2bc06d23090d807c,648394fc2bc06d23090d86a8,Wed Mar 04 2020 17:51:38 GMT+0000 (Coordinated Universal Time),Wed Mar 04 2020 17:51:38 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),,,,,,,,
Persuasive E-commerce,persuasive-e-commerce,648394fc2bc06d23090d807c,648394fc2bc06d23090d85aa,Sat Dec 09 2017 11:56:19 GMT+0000 (Coordinated Universal Time),Mon Apr 11 2022 11:29:32 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),"<p>Presentation or workshop in which I teach the audience about the biases that our brain has, the mistakes we make while making decisions and how we can utilize this in an e-commerce environment.</p><p>By far my most popular popular presentation. Started out giving this session in 2011 and it kept evolving over the years in a session I have now given in over 25 countries!</p>",E-commerce teams interested in optimizing and growing their stores by diving into their buyers psychology.,a1adD2JGH6d0up,https://www.slideshare.net/gxjansen/persuasive-e-commerce-workshop-spryker,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/6254111a693e7e72359dde44_604e4e0e5ba34005408e0ce3_12017468_1029916770374028_5067970769647306750_o-p-800.jpeg,https://www.youtube.com/watch?v=64Th5UUHzuY,40 minutes - 4 hours,true
Podcast livestream host,podcast-livestream-host,648394fc2bc06d23090d807c,648394fc2bc06d23090d8619,Sat Mar 16 2019 14:49:26 GMT+0000 (Coordinated Universal Time),Sat Mar 16 2019 14:49:26 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),,,,,,,,
Spryker update,spryker-update,648394fc2bc06d23090d807c,648394fc2bc06d23090d8736,Fri Feb 17 2023 17:52:11 GMT+0000 (Coordinated Universal Time),Fri Feb 17 2023 17:52:11 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),,,,,,,,false
Still A/B testing your buttons? You need to think (much) bigger...,still-a-b-testing-your-buttons-you-need-to-think-much-bigger,648394fc2bc06d23090d807c,648394fc2bc06d23090d86e6,Sun Apr 03 2022 20:51:39 GMT+0000 (Coordinated Universal Time),Mon Sep 19 2022 17:46:33 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),"<ul id=""""><li id="""">CRO/CXO, Experiments and A/B testing have gained a lot of traction in the last years, hopefully also within your company;</li><li id="""">When optimizing, a lot of commerce teams seem stuck experimenting with minor frontend changes like text, images or layout.</li><li id="""">While still valuable to do this, you could benefit much more from the experimentation mindset when applying this to not just your frontend, but to across all aspects of your business</li><li id="""">Guido shows you how using Packaged Business Capabilities can give your commerce team the freedom to do just that.</li></ul>","E-commerce managers, CRO Specialists",iThZsbhcUFNQv4,https://www.slideshare.net/gxjansen/still-ab-testing-your-buttons-you-need-to-think-much-bigger,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/624a0dcc07e477004919eacd_0317_cropped.jpg,https://www.youtube.com/watch?v=05S0ZR2BUbw,20 minutes,true
"The Future of Community: Where Psychology, Tech and AI Collide",the-future-of-community-where-psychology-tech-and-ai-collide,648394fc2bc06d23090d807c,65a6df4c95da3901e8e7e48d,Tue Jan 16 2024 19:55:56 GMT+0000 (Coordinated Universal Time),Mon Jun 24 2024 23:17:06 GMT+0000 (Coordinated Universal Time),,"<p id="""">As communities continue to evolve, the intersection of psychology and technology is becoming increasingly critical.</p><p id="""">I will explore the future trends that are set to redefine how consumers interact with online platforms. From AI-driven personalization to the psychological triggers that drive user engagement, we'll delve into what the future holds and how businesses can prepare for the seismic shifts on the horizon.</p><p id="""">By the end of this session, attendees will have</p><ul><li>a good understanding of latest trends that combine AI and Community building;</li><li>a list of things they can implement and start experimenting with in their own community right away.</li></ul>",B2B Community managers,,,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/65c5544948af8f6d48d4ab52_spark-community-session.webp,,40 min,true
The Future of the Magento Ecosystem,the-future-of-the-magento-ecosystem,648394fc2bc06d23090d807c,648394fc2bc06d23090d81bd,Sat Dec 09 2017 13:08:10 GMT+0000 (Coordinated Universal Time),Sat Dec 16 2017 09:05:08 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),<p>The Magento community is thriving and wants to push forward fast. This presentation is about feelings and ideas that live within the community and that I've discussed with many at Meet Magento conferences and on IM chats in the past months. I presented this at the Magento Snowcamp in Austria in January and this week at Meet Magento in Spain. Let me know what you think in the comments!</p>,,Qv2PEbRIZk3RL,https://www.slideshare.net/gxjansen/future-of-magento,,,20 minutes,
Topic to be determined,topic-to-be-determined,648394fc2bc06d23090d807c,648394fc2bc06d23090d8093,Sat Dec 09 2017 15:13:27 GMT+0000 (Coordinated Universal Time),Sat Dec 09 2017 15:13:27 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),,,,,,,,
Usability Testing,usability-testing,648394fc2bc06d23090d807c,648394fc2bc06d23090d8464,Sat Dec 09 2017 16:14:07 GMT+0000 (Coordinated Universal Time),Sat Dec 16 2017 08:56:54 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),<p>Slides from my 5 minute pitch at startup accelerator Rockstart in April 2015</p>,,rm9ZEEedcy6psh,https://www.slideshare.net/gxjansen/user-legion-rockstart-answers-startup-pitch,,,5 minutes,
Why becoming a Marketplace should be your Next Big Initiative,why-becoming-a-marketplace-should-be-your-next-big-initiative,648394fc2bc06d23090d807c,648394fc2bc06d23090d86f0,Thu Apr 14 2022 14:06:11 GMT+0000 (Coordinated Universal Time),Tue Apr 19 2022 17:55:18 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),"<p>Together with Marnix from SQLI I hosted a session about marketplaces for retail organizations. What are all marketplace variants? What is the difference between selling on a marketplace and becoming a marketplace? What are the latest developments and why do we think you really need to be the first mover in your industry when it comes to marketplaces...</p><p>More info about <a href=""https://spryker.com/en/marketplace/"" target=""_blank"">Sprykers Enterprise Marketplace Capabilities</a>.</p><p>‍</p>","E-commerce director, CMO",gJKtiHrceOuzqK,https://www.slideshare.net/gxjansen/why-marketplace-is-your-next-big-initiative,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/62582f59602b76223fde050d_08.02.jpg,,30 minutes,true
Why Marketplace is Your Next Big Initiative,why-marketplace-is-your-next-big-initiative,648394fc2bc06d23090d807c,648394fc2bc06d23090d86fc,Thu Aug 11 2022 20:48:41 GMT+0000 (Coordinated Universal Time),Thu Aug 11 2022 21:22:18 GMT+0000 (Coordinated Universal Time),,"<p>Togetehr with Marnix Dekker from our partner SQLI I disucss why starting a marketplace can be a huge multiplier for your business, and why you need to start with that TODAY.</p>","Marketeers, Product owners",ImBR6kZsdBmuzm,https://www.slideshare.net/gxjansen/emerce-retailstage-sessionsqlispryker2022au-1pdf,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/62f56df1cea3730483fa1182_guido-4.jpg,,30 min,true
Online sales for florists,workshop-online-sales-for-florists,648394fc2bc06d23090d807c,648394fc2bc06d23090d8090,Sat Dec 09 2017 12:02:05 GMT+0000 (Coordinated Universal Time),Sat Dec 09 2017 15:12:12 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),,,,,,,,
Your path to becoming a (more) Customer Centric Business,your-path-to-becoming-a-more-customer-centric-business,648394fc2bc06d23090d807c,648394fc2bc06d23090d8615,Sat Feb 09 2019 11:06:47 GMT+0000 (Coordinated Universal Time),Sat Feb 09 2019 11:06:47 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),"<p>In this presentation and workshop I discuss recent industry reports, share fresh CRO research and guide you through the setup of the optimization process and how to grow it based on your current company and team maturity levels. We discuss the optimal workflow, how to increase team knowledge, how to improve management buy-in and how to prioritize. We discuss how to improve your experimentation velocity, capacity and coverage, and how to set your KPIs. We do a workshop on hypothesis setting and will show you how you can estimate long-term ROI.</p>",,,,,,3 hours,
